,distance fire to element [m],heat release [MJ],temperature fire [K]
0,105.0,0.0,293.15
1,104.64,18792000000.0,303.6913867299874
2,104.28,37584000000.0,309.92189813158745
3,103.92,56376000000.0,315.1781307155326
4,103.56,75168000000.0,319.8969870155584
5,103.2,93960000000.0,324.2592665361511
6,102.84,112752000000.0,328.3618645113995
7,102.48,131544000000.00002,332.264295822213
8,102.12,150336000000.0,336.00640008550556
9,101.76,169128000000.0,339.61648715448143
10,101.4,187920000000.0,343.11557970490503
11,101.04,206711999999.99997,346.5198274764006
12,100.68,225504000000.0,349.8419758275223
13,100.32,244296000000.00003,353.0923069194616
14,99.96,263088000000.00003,356.27926883010775
15,99.6,281880000000.0,359.4099109053718
16,99.24,300672000000.0,362.49019391619413
17,98.88,319464000000.0,365.52521656414206
18,98.52,338256000000.0,368.51938446692594
19,98.16,357047999999.99994,371.47653859844166
20,97.8,375840000000.0,374.40005452205287
21,97.44,394632000000.0,377.2929201787611
22,97.08,413423999999.99994,380.15779765947775
23,96.72,432216000000.00006,382.99707283294515
24,96.36,451008000000.0,385.8128956381654
25,96.0,469800000000.00006,388.60721311117834
26,95.64,488592000000.00006,391.3817966931224
27,95.28,507384000000.0,394.1382649906651
28,94.92,526176000000.00006,396.8781028858399
29,94.56,544968000000.0,399.60267768986796
30,94.2,563760000000.0,402.31325288415087
31,93.84,582552000000.0,405.0109998771561
32,93.48,601344000000.0,407.6970081184668
33,93.12,620136000000.0,410.3722938438201
34,92.76,638928000000.0,413.03780767247486
35,92.4,657720000000.0,415.69444123705955
36,92.03999999999999,676512000000.0,418.3430329934855
37,91.68,695304000000.0,420.9843733325657
38,91.32,714095999999.9999,423.6192090941702
39,90.96,732887999999.9999,426.248247567952
40,90.6,751680000000.0,428.87216005103784
41,90.24,770472000000.0,431.491585021931
42,89.88,789264000000.0,434.10713098072586
43,89.52,808055999999.9999,436.7193789981786
44,89.16,826847999999.9999,439.3288850099108
45,88.8,845640000000.0,441.93618188680114
46,88.44,864432000000.0001,444.5417813082506
47,88.08,883224000000.0001,447.1461754613291
48,87.72,902016000000.0,449.7498385857126
49,87.36,920808000000.0,452.3532283816927
50,87.0,939600000000.0001,454.9567872963051
51,86.64,958392000000.0001,457.5609437007198
52,86.28,977184000000.0001,460.1661129704037
53,85.92,995976000000.0,462.7726984781622
