specific heat steel [J/kg/K],temperature fire [K],temperature rate steel [K/s],temperature steel [K],time [s]
0.0,293.15,0.0,293.15,0.0
562.29871237775,303.6913867299874,0.0,293.15,60.0
562.29871237775,309.92189813158745,0.0,293.15,120.0
562.29871237775,315.1781307155326,0.0,293.15,180.0
562.29871237775,319.8969870155584,0.0019267382038298624,293.2656042922298,240.0
562.3396993691672,324.2592665361511,0.003750000847025652,293.49060434305136,300.0
562.4194721438107,328.3618645113995,0.0053239664176129246,293.8100423281081,360.0
562.5328095423986,332.264295822213,0.006723154187158287,294.2134315793376,420.0
562.6759934098276,336.00640008550556,0.007990264722173106,294.692847462668,480.0
562.8462759364689,339.61648715448143,0.009152428978069782,295.24199320135216,540.0
563.0414811882449,343.11557970490503,0.010228177728586956,295.85568386506736,600.0
563.2598234561677,346.5198274764006,0.011230864017101253,296.52953570609344,660.0
563.4998063659045,349.8419758275223,0.012170515428255691,297.2597666317888,720.0
563.7601854956725,353.0923069194616,0.0130549127606323,298.04306139742675,780.0
564.0398019089172,356.27926883010775,0.013890258188886572,298.87647688875995,840.0
564.3377289071759,359.4099109053718,0.014681603404350572,299.757373093021,900.0
564.6530797464245,362.49019391619413,0.015433142263776949,300.6833616288476,960.0
564.9850795107116,365.52521656414206,0.01614841062279713,301.6522662662154,1020.0
565.3330399921344,368.51938446692594,0.016830430268695414,302.66209208233715,1080.0
565.6963362602578,371.47653859844166,0.017481814343659047,303.7110009429567,1140.0
566.0743981234674,374.40005452205287,0.018104845913458976,304.7972916977642,1200.0
566.4667032316443,377.2929201787611,0.01870153773672279,305.9193839619676,1260.0
566.8727714274277,380.15779765947775,0.019273678480237918,307.07580467078185,1320.0
567.2921869448428,382.99707283294515,0.01982286827887681,308.26517676751445,1380.0
567.7245558622374,385.8128956381654,0.020350548506448844,309.4862096779014,1440.0
568.1694714835278,388.60721311117834,0.02085802586600014,310.7376912298614,1500.0
568.6266724267499,391.3817966931224,0.021346486841703705,312.01848044036365,1560.0
569.095769475446,394.1382649906651,0.021817020643533587,313.32750167897564,1620.0
569.5765619859995,396.8781028858399,0.022270623086030804,314.6637390641375,1680.0
570.0687340363202,399.60267768986796,0.022708215946460733,316.02623202092514,1740.0
570.5720513955763,402.31325288415087,0.02313065025659913,317.4140710363211,1800.0
571.0863424877067,405.0109998771561,0.023538714355781087,318.82639389766797,1860.0
571.6113828959413,407.6970081184668,0.02393314395494586,320.26238253496473,1920.0
572.1469874676447,410.3722938438201,0.024314624898097752,321.7212600288506,1980.0
572.6929973604235,413.03780767247486,0.02468379835399988,323.2022879300906,2040.0
573.2492681960796,415.69444123705955,0.025041265371856056,324.704763852402,2100.0
573.8156691884835,418.3430329934855,0.025387590562743534,326.2280192861666,2160.0
574.3920823517893,420.9843733325657,0.025723305329374783,327.7714176059291,2220.0
574.9784017794242,423.6192090941702,0.02604891071240196,329.3343522486732,2280.0
575.5745329857093,426.248247567952,0.0263648799094781,330.9162450432419,2340.0
576.1803923031476,428.87216005103784,0.026671660513675404,332.5165446740624,2400.0
576.795915006246,431.491585021931,0.026969676200202682,334.13472524607454,2460.0
577.4210834140804,434.10713098072586,0.027259327470699427,335.7702848943165,2520.0
578.0558002970461,436.7193789981786,0.02754099781481355,337.4227447632053,2580.0
578.7000203977634,439.3288850099108,0.02781505040258622,339.09164778736044,2640.0
579.3537589396109,441.93618188680114,0.02808182901214638,340.7765575280892,2700.0
580.0169908264708,444.5417813082506,0.02834166292863117,342.47705730380704,2760.0
580.6896521607736,447.1461754613291,0.02859486800113428,344.1927493838751,2820.0
581.3718454347979,449.7498385857126,0.028841739836700065,345.92325377407707,2880.0
582.0634753730895,452.3532283816927,0.02908256853627279,347.6682078862534,2940.0
582.764634232166,454.9567872963051,0.0293176247673384,349.42726537229373,3000.0
583.475285275616,457.5609437007198,0.029547172706388066,351.200095734677,3060.0
584.195524837343,460.1661129704037,0.02977146054006161,352.9863833670807,3120.0
584.9253039363825,462.7726984781622,0.029990732010697917,354.78582728772255,3180.0
585.664794087344,465.381092508965,0.0302052125519851,356.59814004084166,3240.0
586.4139261017632,467.9916771044124,0.03041512815784707,358.4230477303125,3300.0
587.1728207503146,470.6048248437986,0.030620688684439696,360.26028905137883,3360.0
587.9415608043759,473.2208995679422,0.030822097452389632,362.10961489852224,3420.0
588.7201583798591,475.8402570512701,0.031019553031720222,363.97078808042545,3480.0
589.5087203029043,478.46324562704456,0.03121324290975076,365.8435826550105,3540.0
590.3073904015026,481.09020677009937,0.031403346209313926,367.7277834275693,3600.0
